,country_code,country_name,population,prefecture/state,year
0,JP,Japan,13513734,Tokyo,2015
1,JP,Japan,9127323,Kanagawa,2015
2,JP,Japan,8838908,Osaka,2015
3,JP,Japan,7484094,Aichi,2015
4,JP,Japan,7261271,Saitama,2015
5,JP,Japan,6224027,Chiba,2015
6,JP,Japan,5536989,Hyogo,2015
7,JP,Japan,5383579,Hokkaido,2015
8,JP,Japan,5102871,Fukuoka,2015
9,JP,Japan,3701181,Shizuoka,2015
10,JP,Japan,2917857,Ibaraki,2015
11,JP,Japan,2844963,Hiroshima,2015
12,JP,Japan,2610140,Kyoto,2015
13,JP,Japan,2334215,Miyagi,2015
14,JP,Japan,2305098,Niigata,2015
15,JP,Japan,2099759,Nagano,2015
16,JP,Japan,2032533,Gifu,2015
17,JP,Japan,1974671,Tochigi,2015
18,JP,Japan,1973476,Gunma,2015
19,JP,Japan,1922181,Okayama,2015
20,JP,Japan,1913606,Fukushima,2015
21,JP,Japan,1815827,Mie,2015
22,JP,Japan,1786969,Kumamoto,2015
23,JP,Japan,1648752,Kagoshima,2015
24,JP,Japan,1434138,Okinawa,2015
25,JP,Japan,1413184,Shiga,2015
26,JP,Japan,1405007,Yamaguchi,2015
27,JP,Japan,1385840,Ehime,2015
28,JP,Japan,1377780,Nagasaki,2015
29,JP,Japan,1365008,Nara,2015
30,JP,Japan,1308649,Aomori,2015
31,JP,Japan,1279814,Iwate,2015
32,JP,Japan,1166729,Oita,2015
33,JP,Japan,1154343,Ishikawa,2015
34,JP,Japan,1122957,Yamagata,2015
35,JP,Japan,1104377,Miyazaki,2015
36,JP,Japan,1066883,Toyama,2015
37,JP,Japan,1022839,Akita,2015
38,JP,Japan,976756,Kagawa,2015
39,JP,Japan,963850,Wakayama,2015
40,JP,Japan,835165,Yamanashi,2015
41,JP,Japan,833245,Saga,2015
42,JP,Japan,787099,Fukui,2015
43,JP,Japan,756063,Tokushima,2015
44,JP,Japan,728461,Kochi,2015
45,JP,Japan,694188,Shimane,2015
46,JP,Japan,573648,Tottori,2015
